feature_a,feature_b,mean_interaction,interaction_fold_std,pct_of_main_a,pct_of_main_b,verdict,correlation_section2,redundancy_flag
CADD_phred,threeUTR_UC_content,0.0007767748011337034,4e-05,2.1,3.3,weak interaction (near-additive),0.072,
cdsseqs_UC_content,first.100,0.0007729857645641247,5e-05,1.6,3.2,weak interaction (near-additive),0.01,
phastcons_new3utr_first200_median,first.200,0.0007667826576274637,5e-05,1.0,2.0,weak interaction (near-additive),0.022,
log2_CDS,first.100,0.0007650287528078567,3e-05,4.0,3.1,weak interaction (near-additive),0.188,
cdsseqs_UC_content,readthrough_score_hek293t,0.000762861999865321,8e-05,1.6,4.2,weak interaction (near-additive),0.066,
first.200,phylop_new3utr_first200_median,0.0007424342721665616,0.0001,1.9,2.6,weak interaction (near-additive),0.011,
phastcons_new3utr_first200_median,log2_CDS,0.0007386249893003029,0.00017,0.9,3.9,weak interaction (near-additive),0.1,
MedianExpression_log2,readthrough_score_hek293t,0.0007304115573219314,5e-05,3.2,4.1,weak interaction (near-additive),0.001,
phastcons_new3utr_first200_median,cdsseq_AUcontentlast200,0.000728478224838186,3e-05,0.9,1.4,weak interaction (near-additive),0.048,
cdsseq_AUcontentlast200,first.100,0.000725332403261241,0.0001,1.4,3.0,weak interaction (near-additive),0.004,
AmountExonsAfter,cdsseqs_UC_content,0.0007122518546109946,6e-05,1.1,1.5,weak interaction (near-additive),-0.008,
log2_CDS,readthrough_score_hek293t,0.0007106728873008479,0.0001,3.7,3.9,weak interaction (near-additive),0.008,
cdsseqs_AU_content,CADD_phred,0.0007103790011250045,5e-05,0.6,1.9,weak interaction (near-additive),-0.046,
relativePTClocation,phylop_new3utr_first200_median,0.0007049458176479746,0.00025,0.4,2.5,weak interaction (near-additive),-0.218,
phastcons_new3utr_first200_median,AmountExonsAfter,0.000684174866951831,0.00011,0.9,1.1,weak interaction (near-additive),0.249,
half_life_PC1,first.100,0.0006798011256368863,7e-05,0.4,2.8,weak interaction (near-additive),0.036,
cdsseqs_AU_content,phastcons_ptc_to_ejc_median,0.0006647057154595404,6e-05,0.6,2.4,weak interaction (near-additive),0.09,
cdsseqs_AU_content,cdsseq_AUcontentlast200,0.0006576537393509432,0.0002,0.6,1.3,weak interaction (near-additive),0.842,"LIKELY REDUNDANT (high corr, low interaction)"
mut.exon,phastcons_new3utr_first200_median,0.000656215291681315,8e-05,1.2,0.8,weak interaction (near-additive),0.038,
isoform_count,phylop_new3utr_first200_median,0.0006502840956802278,0.0001,2.8,2.3,weak interaction (near-additive),0.097,
half_life_PC1,phastcons_ptc_to_ejc_median,0.0006405547507550378,2e-05,0.4,2.3,weak interaction (near-additive),0.171,
phylop_ptc_to_ejc_median,log2_CDS,0.0006316597853386186,4e-05,0.9,3.3,weak interaction (near-additive),0.114,
phylop_ptc_to_ejc_median,readthrough_score_hek293t,0.0006246474077462511,4e-05,0.9,3.5,weak interaction (near-additive),0.038,
phastcons_new3utr_first200_median,isoform_count,0.0006226839988727808,6e-05,0.8,2.7,weak interaction (near-additive),0.133,
mut.exon,CADD_phred,0.0006178894664183526,0.0001,1.2,1.7,weak interaction (near-additive),0.279,
CADD_phred,log2_CDS,0.0006156066111235658,0.00011,1.7,3.2,weak interaction (near-additive),0.102,
AmountExonsAfter,log2_CDS,0.0005951055556836648,8e-05,0.9,3.1,weak interaction (near-additive),0.51,
cdsseqs_UC_content,isoform_count,0.0005949587249587285,5e-05,1.3,2.6,weak interaction (near-additive),0.046,
AmountExonsAfter,CADD_phred,0.0005899647974762575,7e-05,0.9,1.6,weak interaction (near-additive),-0.012,
cdsseqs_AU_content,phylop_new3utr_first200_median,0.0005880858928072703,7e-05,0.5,2.1,weak interaction (near-additive),0.147,
phylop_ptc_to_ejc_median,first.200,0.0005519813960439781,4e-05,0.8,1.4,weak interaction (near-additive),0.043,
AmountExonsAfter,readthrough_score_hek293t,0.0005423306852971166,4e-05,0.8,3.0,weak interaction (near-additive),0.009,
cdsseq_AUcontentlast200,phastcons_ptc_to_ejc_median,0.0004888869274283227,7e-05,0.9,1.8,weak interaction (near-additive),0.046,
threeUTR_UC_content,phylop_new3utr_first200_median,0.00047391762096055156,4e-05,2.0,1.7,weak interaction (near-additive),0.097,
first.200,first.100,0.000468065425284263,0.00011,1.2,1.9,weak interaction (near-additive),0.671,
phylop_ptc_to_ejc_median,AmountExonsAfter,0.00046219643158134705,0.00011,0.7,0.7,weak interaction (near-additive),0.249,
cdsseq_AUcontentlast200,threeUTR_UC_content,0.00045307194309318605,4e-05,0.9,1.9,weak interaction (near-additive),-0.076,
isoform_count,readthrough_score_hek293t,0.0004498677991488973,3e-05,2.0,2.5,weak interaction (near-additive),-0.015,
log2_CDS,phylop_new3utr_first200_median,0.00044120975945919505,5e-05,2.3,1.5,weak interaction (near-additive),0.117,
AmountExonsAfter,phastcons_ptc_to_ejc_median,0.0004355475518151799,3e-05,0.7,1.6,weak interaction (near-additive),0.279,
MedianExpression_log2,first.200,0.00042866919301491656,4e-05,1.9,1.1,weak interaction (near-additive),0.009,
