feature,mean_abs_shap
utr3_200.TRA2A,0.0004960580943282082
utr3_200.SAMD4A,0.0004944844238550719
newutr_200.CPEB4,0.000493935717700415
ptc_to_ejc.A1CF,0.0004934511106346387
newutr_all.SRSF9,0.00048292057840662974
utr3_200.MBNL1,0.0004813778474055427
newutr_200.CELF6,0.00047898391596235007
utr3_all.IGF2BP3,0.00047626620327072305
ptc_to_ejc.QKI,0.00047384426298478354
ejc_pm100.SART3,0.0004730054408908723
ptc_pm100.EIF4B,0.0004705684562914725
ptc_to_ejc.KHDRBS1,0.00046619854118098194
utr3_200.IGHMBP2,0.00046037037577776935
newutr_200.LIN28A,0.00046028259417483646
minus2_is_G,0.00045948946516335417
ejc_pm100.HNRNPLL,0.0004582444762495599
ptc_to_ejc.SRSF9,0.0004568065495706101
ptc_pm100.RC3H1,0.00045652092029262084
utr3_200.PABPC3,0.0004553453110295813
utr3_all.SFPQ,0.0004547099991868136
ejc_pm100.PABPC5,0.00045422206529690417
newutr_200.SRSF10,0.0004540799168932952
utr3_200.HNRNPU,0.0004524366379876579
ejc_pm100.ZFP36,0.0004458510956153603
ptc_pm100.RBMX,0.00044317202708059014
newutr_all.HNRNPA2B1,0.0004423174051851843
utr3_200.SRSF5,0.00043988439376789154
newutr_200.G3BP1,0.00043600071637376974
ejc_pm100.RBM4,0.00043451932180839863
newutr_all.SRSF10,0.0004308960485351168
utr3_200.KHDRBS1,0.00042487323683341874
utr3_200.NOVA2,0.00041119895391906363
utr3_200.HNRNPA3,0.00041096732056715435
utr3_all.HNRNPK,0.00041039778991976925
ptc_pm100.KHSRP,0.00040967855470858084
utr3_all.NOVA1,0.00040586653677303017
utr3_all.SRP14,0.00039943483720150354
utr3_all.CELF5,0.0003990226457981407
utr3_all.RBM42,0.00039834400278442603
utr3_all.CELF1,0.000397855871904729
utr3_200.NOVA1,0.0003973153955037956
threeUTR.PTBP1,0.0003970077623850218
utr3_all.HNRNPA1L2,0.0003957904754030094
newutr_200.NOVA2,0.0003915268321465707
newutr_all.SF1,0.0003879152196677055
utr3_all.PUM2,0.00038707086613595543
utr3_all.RALY,0.0003835213997793366
ptc_to_ejc.YBX1,0.00037608228328856217
ptc_to_ejc.SRSF6,0.0003748280794070581
ejc_pm100.MBNL1,0.0003726240292050233
newutr_200.HNRNPAB,0.0003726070009017342
ptc_pm100.HNRNPL,0.00037127857174003585
ptc_pm100.RBM4,0.00037019810547703777
newutr_all.SNRNP70,0.00036755223585256615
newutr_200.PABPC5,0.0003636868171527992
newutr_all.RBMS1,0.0003599039985953974
ejc_pm100.YBX2,0.00035959355249039324
newutr_200.CSTF2,0.0003592604175195462
ptc_pm100.SAMD4A,0.0003569286670396792
newutr_all.ZCRB1,0.00035507870894342305
ptc_to_ejc.TARDBP,0.0003541728312974874
newutr_all.RBM5,0.00034902853765456413
utr3_all.CPEB2,0.0003377964992045423
newutr_200.HNRNPLL,0.0003232175837126288
ptc_to_ejc.HNRNPL,0.0003229237097176835
ejc_pm100.ELAVL1,0.0003225695469653449
newutr_200.SRSF1,0.0003203261794061158
newutr_all.HNRNPU,0.0003192463462078915
utr3_200.ELAVL4,0.00031256749246728736
utr3_all.HNRNPA1,0.0003120950898452684
